0.888485, 1.404051, 154.445652
0.888485, 1.400637, 154.070104
0.959310, 1.398951, 153.884660
0.959310, 1.398088, 153.789721
1.012285, 1.398951, 153.884660
1.012285, 1.398088, 153.789721
1.047905, 1.398951, 153.884660
1.047905, 1.400637, 154.070104
1.128796, 1.398951, 153.884660
1.128796, 1.398088, 153.789721
1.148805, 1.398951, 153.884660
1.148805, 1.400637, 154.070104
1.152688, 1.401501, 154.165156
1.152688, 1.400637, 154.070104
1.156112, 1.398951, 153.884660
1.156112, 1.400637, 154.070104
1.160566, 1.398951, 153.884660
1.160566, 1.400637, 154.070104
1.164073, 1.401501, 154.165156
1.164073, 1.400637, 154.070104
1.167429, 1.398951, 153.884660
1.167429, 1.400637, 154.070104
1.170562, 1.398951, 153.884660
1.170562, 1.400637, 154.070104
1.173459, 1.401501, 154.165156
1.173459, 1.400637, 154.070104
1.176360, 1.398951, 153.884660
1.176360, 1.400637, 154.070104
1.179448, 1.401501, 154.165156
1.179448, 1.400637, 154.070104
1.182563, 1.398951, 153.884660
1.182563, 1.400637, 154.070104
1.185914, 1.398951, 153.884660
1.185914, 1.400637, 154.070104
1.188994, 1.398951, 153.884660
1.188994, 1.400637, 154.070104
1.192085, 1.398951, 153.884660
1.192085, 1.398088, 153.789721
1.195731, 1.398951, 153.884660
1.195731, 1.400637, 154.070104
1.198988, 1.398951, 153.884660
1.198988, 1.400637, 154.070104
1.201932, 1.398951, 153.884660
1.201932, 1.400637, 154.070104
1.205304, 1.401501, 154.165156
1.205304, 1.398088, 153.789721
1.209096, 1.398951, 153.884660
1.209096, 1.398088, 153.789721
1.212790, 1.398951, 153.884660
1.212790, 1.398088, 153.789721
1.215925, 1.398951, 153.884660
1.215925, 1.400637, 154.070104
1.219030, 1.398951, 153.884660
1.219030, 1.400637, 154.070104
1.221898, 1.398951, 153.884660
1.221898, 1.400637, 154.070104
1.224781, 1.398951, 153.884660
1.224781, 1.400637, 154.070104
1.227575, 1.401501, 154.165156
1.227575, 1.400637, 154.070104
1.232269, 1.398951, 153.884660
1.232269, 1.400637, 154.070104
1.235202, 1.398951, 153.884660
1.235202, 1.400637, 154.070104
1.238190, 1.398951, 153.884660
1.238190, 1.400637, 154.070104
1.241123, 1.398951, 153.884660
1.241123, 1.398088, 153.789721
1.244093, 1.398951, 153.884660
1.244093, 1.398088, 153.789721
1.247220, 1.398951, 153.884660
1.247220, 1.400637, 154.070104
1.250129, 1.398951, 153.884660
1.250129, 1.398088, 153.789721
1.253089, 1.398951, 153.884660
1.253089, 1.398088, 153.789721
1.255882, 1.401501, 154.165156
1.255882, 1.400637, 154.070104
1.258770, 1.398951, 153.884660
1.258770, 1.400637, 154.070104
1.261965, 1.401501, 154.165156
1.261965, 1.400637, 154.070104
1.265052, 1.398951, 153.884660
1.265052, 1.400637, 154.070104
1.268229, 1.401501, 154.165156
1.268229, 1.400637, 154.070104
1.271258, 1.398951, 153.884660
1.271258, 1.400637, 154.070104
1.274266, 1.401501, 154.165156
1.274266, 1.400637, 154.070104
1.277319, 1.401501, 154.165156
1.277319, 1.400637, 154.070104
1.281322, 1.398951, 153.884660
1.281322, 1.400637, 154.070104
1.284358, 1.398951, 153.884660
1.284358, 1.398088, 153.789721
1.287206, 1.398951, 153.884660
1.287206, 1.398088, 153.789721
1.290195, 1.398951, 153.884660
1.290195, 1.400637, 154.070104
1.293153, 1.398951, 153.884660
1.293153, 1.398088, 153.789721
1.298415, 1.401501, 154.165156
1.298415, 1.400637, 154.070104
1.302847, 1.401501, 154.165156
1.302847, 1.400637, 154.070104
1.305866, 1.398951, 153.884660
1.305866, 1.400637, 154.070104
1.310725, 1.398951, 153.884660
1.310725, 1.400637, 154.070104
1.316295, 1.401501, 154.165156
1.316295, 1.400637, 154.070104
1.320832, 1.398951, 153.884660
1.320832, 1.400637, 154.070104
1.323792, 1.398951, 153.884660
1.323792, 1.400637, 154.070104
1.326621, 1.398951, 153.884660
1.326621, 1.398088, 153.789721
1.329857, 1.398951, 153.884660
1.329857, 1.400637, 154.070104
1.332988, 1.401501, 154.165156
1.332988, 1.400637, 154.070104
1.335773, 1.398951, 153.884660
1.335773, 1.400637, 154.070104
1.338621, 1.398951, 153.884660
1.338621, 1.400637, 154.070104
1.341429, 1.401501, 154.165156
1.341429, 1.398088, 153.789721
1.344201, 1.398951, 153.884660
1.344201, 1.398088, 153.789721
1.347520, 1.398951, 153.884660
1.347520, 1.400637, 154.070104
1.350428, 1.398951, 153.884660
1.350428, 1.398088, 153.789721
1.353291, 1.398951, 153.884660
1.353291, 1.400637, 154.070104
1.356073, 1.398951, 153.884660
1.356073, 1.400637, 154.070104
1.358899, 1.401501, 154.165156
1.358899, 1.400637, 154.070104
1.362247, 1.398951, 153.884660
1.362247, 1.400637, 154.070104
1.365436, 1.398951, 153.884660
1.365436, 1.400637, 154.070104
1.368208, 1.401501, 154.165156
1.368208, 1.400637, 154.070104
1.371030, 1.398951, 153.884660
1.371030, 1.398088, 153.789721
1.373811, 1.398951, 153.884660
1.373811, 1.400637, 154.070104
1.376721, 1.401501, 154.165156
1.376721, 1.400637, 154.070104
1.379891, 1.401501, 154.165156
1.379891, 1.400637, 154.070104
1.382688, 1.398951, 153.884660
1.382688, 1.400637, 154.070104
1.385476, 1.401501, 154.165156
1.385476, 1.400637, 154.070104
1.388430, 1.398951, 153.884660
1.388430, 1.400637, 154.070104
1.391612, 1.398951, 153.884660
1.391612, 1.398088, 153.789721
1.394591, 1.398951, 153.884660
1.394591, 1.398088, 153.789721
1.397956, 1.398951, 153.884660
1.397956, 1.398088, 153.789721
1.401036, 1.398951, 153.884660
1.401036, 1.400637, 154.070104
1.404092, 1.398951, 153.884660
1.404092, 1.400637, 154.070104
1.406902, 1.398951, 153.884660
1.406902, 1.400637, 154.070104
1.409833, 1.398951, 153.884660
1.409833, 1.400637, 154.070104
1.413401, 1.401501, 154.165156
1.413401, 1.400637, 154.070104
1.416396, 1.398951, 153.884660
1.416396, 1.400637, 154.070104
1.419196, 1.398951, 153.884660
1.419196, 1.400637, 154.070104
1.422185, 1.401501, 154.165156
1.422185, 1.400637, 154.070104
1.425107, 1.398951, 153.884660
1.425107, 1.398088, 153.789721
1.428087, 1.401501, 154.165156
1.428087, 1.400637, 154.070104
1.431117, 1.398951, 153.884660
1.431117, 1.400637, 154.070104
1.434192, 1.398951, 153.884660
1.434192, 1.400637, 154.070104
1.437168, 1.401501, 154.165156
1.437168, 1.400637, 154.070104
1.439975, 1.398951, 153.884660
1.439975, 1.400637, 154.070104
1.442885, 1.401501, 154.165156
1.442885, 1.398088, 153.789721
1.447561, 1.398951, 153.884660
1.447561, 1.398088, 153.789721
1.456208, 1.398951, 153.884660
1.456208, 1.400637, 154.070104
1.567441, 1.398951, 153.884660
1.567441, 1.400637, 154.070104
1.571115, 1.398951, 153.884660
1.571115, 1.398088, 153.789721
1.574481, 1.398951, 153.884660
1.574481, 1.398088, 153.789721
1.577575, 1.398951, 153.884660
1.577575, 1.400637, 154.070104
1.580859, 1.398951, 153.884660
1.580859, 1.400637, 154.070104
1.584790, 1.398951, 153.884660
1.584790, 1.398088, 153.789721
1.588158, 1.398951, 153.884660
1.588158, 1.400637, 154.070104
1.591252, 1.398951, 153.884660
1.591252, 1.400637, 154.070104
1.595257, 1.398951, 153.884660
1.595257, 1.400637, 154.070104
1.600101, 1.398951, 153.884660
1.600101, 1.400637, 154.070104
1.603487, 1.398951, 153.884660
1.603487, 1.400637, 154.070104
1.606740, 1.398951, 153.884660
1.606740, 1.398088, 153.789721
1.610120, 1.401501, 154.165156
1.610120, 1.400637, 154.070104
1.614501, 1.398951, 153.884660
1.614501, 1.400637, 154.070104
1.618629, 1.398951, 153.884660
1.618629, 1.400637, 154.070104
1.622421, 1.398951, 153.884660
1.622421, 1.400637, 154.070104
1.625925, 1.398951, 153.884660
1.625925, 1.400637, 154.070104
1.630496, 1.401501, 154.165156
1.630496, 1.400637, 154.070104
1.635916, 1.398951, 153.884660
1.635916, 1.400637, 154.070104
1.640322, 1.398951, 153.884660
1.640322, 1.398088, 153.789721
1.645545, 1.398951, 153.884660
1.645545, 1.400637, 154.070104
1.651404, 1.398951, 153.884660
1.651404, 1.400637, 154.070104
1.655933, 1.398951, 153.884660
1.655933, 1.400637, 154.070104
